"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
24570,158,"NLD","Netherlands",8,"Noord-Brabant",205,"Boxmeer"," "," ","Gemeente","Municipality"
24571,158,"NLD","Netherlands",8,"Noord-Brabant",206,"Boxtel"," "," ","Gemeente","Municipality"
24572,158,"NLD","Netherlands",8,"Noord-Brabant",207,"Breda"," "," ","Gemeente","Municipality"
24573,158,"NLD","Netherlands",8,"Noord-Brabant",208,"Cranendonck"," ","Budel","Gemeente","Municipality"
24574,158,"NLD","Netherlands",8,"Noord-Brabant",209,"Cuijk"," "," ","Gemeente","Municipality"
24575,158,"NLD","Netherlands",8,"Noord-Brabant",210,"Deurne"," "," ","Gemeente","Municipality"
24576,158,"NLD","Netherlands",8,"Noord-Brabant",211,"Dongen"," "," ","Gemeente","Municipality"
24577,158,"NLD","Netherlands",8,"Noord-Brabant",212,"Drimmelen"," ","Made","Gemeente","Municipality"
24578,158,"NLD","Netherlands",8,"Noord-Brabant",213,"Eersel"," "," ","Gemeente","Municipality"
24579,158,"NLD","Netherlands",8,"Noord-Brabant",214,"Eindhoven"," "," ","Gemeente","Municipality"
24580,158,"NLD","Netherlands",8,"Noord-Brabant",215,"Etten-Leur"," "," ","Gemeente","Municipality"
